!!SBtab TableName='RateConstant' TableType='Quantity'						
!QuantityType	!Value	!Compound	!Compound:Identifiers:kegg.compound	!Reaction	!Reaction:Identifiers:kegg.reaction	!Unit
product catalytic rate constant	85.5			PGM_R01518	R01518	1/s
product catalytic rate constant	616			PGH_R00658	R00658	1/s
product catalytic rate constant	296			PYK_R00200	R00200	1/s
product catalytic rate constant	50			PDH_R00209	R00209	1/s
product catalytic rate constant	385			ZWF_R00835	R00835	1/s
product catalytic rate constant	241			GLH_R02035	R02035	1/s
product catalytic rate constant	172			PGD_R01528	R01528	1/s
product catalytic rate constant	349			RPI_R01056	R01056	1/s
product catalytic rate constant	134			RPE_R01529	R01529	1/s
product catalytic rate constant	525			TXT_R01641	R01641	1/s
product catalytic rate constant	472			TAL_R08575	R08575	1/s
product catalytic rate constant	661			TXT_R01067	R01067	1/s
product catalytic rate constant	73.2			FBP_R00762	R00762	1/s
product catalytic rate constant	346			CSN_R00351	R00351	1/s
product catalytic rate constant	406			ACN_R00351	R00351	1/s
product catalytic rate constant	523			ACN_R01900	R01900	1/s
product catalytic rate constant	50			ICD_R00709	R00709	1/s
product catalytic rate constant	337			KGD_R08549	R08549	1/s
product catalytic rate constant	75.2			SCS_R00405	R00405	1/s
product catalytic rate constant	161			SDH_R02164	R02164	1/s
product catalytic rate constant	166			FUM_R01082	R01082	1/s
product catalytic rate constant	767			MDH_R00342	R00342	1/s
